env_step,eval_return
0.0,16.978030014038087
168.4128256513026,16.978030014038087
336.8256513026052,16.978030014038087
505.2384769539078,16.994567127157154
673.6513026052104,19.947539121583706
842.064128256513,22.991232810974417
1010.4769539078156,26.034926500365135
1178.889779559118,30.246015878590033
1347.3026052104208,34.530615850314334
1515.7154308617235,38.81521582203863
1684.128256513026,40.3284143824843
1852.5410821643286,41.608028504269974
2020.9539078156313,42.88764262605565
2189.366733466934,43.441675196894984
2357.779559118236,43.88833226257593
2526.192384769539,44.334989328256874
2694.6052104208416,46.035537489067806
2863.0180360721442,46.08342985025648
3031.430861723447,46.13132221144514
3199.843687374749,43.80512212115121
3368.256513026052,43.834038711086734
3536.6693386773545,43.86295530102227
3705.082164328657,45.16288754374775
3873.49498997996,47.33790375712829
4041.9078156312626,49.488170582392456
4210.320641282565,52.27781844431532
4378.733466933868,52.56243264852933
4547.14629258517,52.455773070017486
4715.559118236472,50.78629370470493
4883.9719438877755,50.27088089211195
5052.384769539078,50.75704826732902
5220.797595190381,51.55124414320581
5389.210420841683,55.91394353768631
5557.623246492985,60.83661502150477
5726.0360721442885,65.34625020480051
5894.448897795591,66.08849497993744
6062.861723446894,65.00627573108892
6231.274549098196,63.92405648224042
6399.687374749498,65.43726049238705
6568.100200400801,67.87880058035157
6736.513026052104,70.32034066831609
6904.925851703407,71.76860236664321
7073.338677354709,69.10061616095456
7241.751503006011,66.43262995526594
7410.164328657314,64.96582609137371
7578.577154308617,68.0398934814691
7746.98997995992,73.92063432016307
7915.402805611222,79.33120075316025
8083.815631262525,83.58966734921479
8252.228456913826,85.32809236676113
8420.64128256513,86.07324513708059
8589.054108216433,89.12956649432017
8757.466933867736,91.82758088945437
8925.879759519037,96.49845102054624
9094.29258517034,96.41208383580467
9262.705410821643,93.8701785954312
9431.118236472945,91.04182273175186
9599.531062124248,89.86119790876785
9767.943887775551,86.35460460651436
9936.356713426852,81.55972449208984
10104.769539078156,76.47432897677668
10273.182364729459,76.81094248819718
10441.595190380762,81.19454806017039
10610.008016032063,86.66959660623202
10778.420841683366,88.41230658500733
10946.83366733467,90.35460621853807
11115.24649298597,90.81287375797167
11283.659318637274,92.72165778333057
11452.072144288577,95.34983565855053
11620.48496993988,99.60127936486556
11788.897795591181,109.57693865504116
11957.310621242485,125.50450473599628
12125.723446893788,139.76232942381887
12294.136272545089,143.95426060501214
12462.549098196392,141.9082471964137
12630.961923847695,138.07088069941426
12799.374749498997,138.9459807664831
12967.7875751503,135.97149665510892
13136.200400801603,130.20560292017416
13304.613226452906,125.87834456974838
13473.026052104207,119.3968560022256
13641.43887775551,106.56010372532805
13809.851703406814,93.65156865794802
13978.264529058115,85.0318081548577
14146.677354709418,89.00329391780932
14315.090180360721,94.52750147584158
14483.503006012023,100.482385638568
14651.915831663326,100.4332163605234
14820.328657314629,103.03152038041712
14988.741482965932,106.3202348375464
15157.154308617233,111.70840289656333
15325.567134268536,119.3497600857454
15493.97995991984,125.99290388113806
15662.39278557114,134.71951559342378
15830.805611222444,140.8548823991739
15999.218436873747,146.22690894736905
16167.63126252505,146.87885137409359
16336.044088176352,146.58371775933944
16504.456913827653,146.63511249384652
16672.869739478956,146.56436086390482
16841.28256513026,149.68787963753252
17009.695390781562,155.33585912765915
17178.108216432865,167.631251284322
17346.52104208417,190.7479660949411
17514.93386773547,211.88730048965039
17683.34669338677,222.33613807844898
17851.759519038074,206.927346933068
18020.172344689377,191.17267040212414
18188.58517034068,185.676136571009
18356.997995991984,187.40240660774657
18525.410821643287,194.1735016020845
18693.82364729459,200.62219766499507
18862.23647294589,205.72897004923598
19030.649298597193,199.57995058309095
19199.062124248496,193.20554901717418
19367.4749498998,187.563541894356
19535.887775551102,182.11529796355953
19704.300601202405,177.34370191374865
19872.713426853705,177.33001909694156
20041.126252505008,192.46792288833484
20209.53907815631,224.89795575340025
20377.951903807614,258.58474256512363
20546.364729458917,282.7818371459556
20714.77755511022,301.45547255777666
20883.190380761524,309.54103766948657
21051.603206412823,335.23421026658104
21220.016032064126,366.3742769360746
21388.42885771543,395.2617464419106
21556.841683366732,393.84640228088426
21725.254509018036,392.431058119858
21893.66733466934,374.09068203472947
22062.080160320642,377.70908687070425
22230.49298597194,388.25663069135464
22398.905811623245,399.2268020168601
22567.318637274548,395.07292822900524
22735.73146292585,386.8842114350256
22904.144288577154,381.95515908746097
23072.557114228457,382.0922244701836
23240.96993987976,398.2096072605285
23409.38276553106,427.377474718334
23577.795591182363,446.07065224877897
23746.208416833666,458.9952888589055
23914.62124248497,456.9676811668828
24083.034068136272,444.63153622640596
24251.446893787575,444.7668609819013
24419.859719438875,444.9677390177708
